id,created_at,updated_at,campaign_id_amazon,brand_campaign_id,profile_id,sponsoring_type,targeting_type,serving_status,last_updated_date_on_amazon,campaign_name,state,placement_tos_mult,placement_pp_mult,bidding_strategy,daily_budget,premium_bid_adjustment,managed,target_acos,campaign_purpose,manual_type
69879,2022-12-17 20:57:31.215360+00:00,2023-02-06 07:38:59.065514+00:00,68576699425295,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1671310651064,T4CDIC-SP-Exact-Scale-Single-6-B0BQ5CBB34-Paperback,enabled,50,0,manual,20.00,True,True,0.00,Exact-Scale,
85427,2023-01-16 21:12:00.716416+00:00,2023-02-06 07:39:00.071450+00:00,223492454219239,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1673903520586,T4CBITW-SP-Exact-Scale-Single-13-B0BRZ7H917-Paperback,enabled,50,0,manual,20.00,True,True,0.00,Exact-Scale,
20239,2022-06-10 20:59:12.472995+00:00,2023-02-06 07:38:56.974994+00:00,122887054232969,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1654894762115,HYTTMW-SP-Exact-Scale-Single-3-1737534215-Paperback,enabled,50,0,manual,20.00,True,True,0.00,Exact-Scale,
20262,2022-06-10 21:00:27.434257+00:00,2023-02-06 07:38:56.979416+00:00,31356053095144,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1654894837078,T4MBCITW-SP-Exact-Scale-Single-6-B0B2TW9G3V-Paperback,enabled,50,0,manual,20.00,True,True,0.00,Exact-Scale,
26346,2022-07-06 00:12:17.481051+00:00,2023-02-06 07:38:57.262150+00:00,107567244812407,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1674834273577,T40MBBV-SP-Broad-Research-2-B0B5KNNTQK-Paperback,enabled,3,0,legacyForSales,20.00,True,True,0.00,Broad-Research,
48134,2022-10-12 06:07:12.482249+00:00,2023-02-06 07:38:58.079495+00:00,147441036732488,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1665554853525,T4MBFGITW-SP-Broad-Research-Single-1-B0B7QGX45P-Paperback,enabled,50,0,legacyForSales,20.00,True,True,0.00,Broad-Research,
58973,2022-11-23 00:22:55.836728+00:00,2023-02-06 07:38:58.156323+00:00,121383706559027,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1669162977883,NTNLTS-SP-Broad-Research-Single-4-B0BL52NN8M-Paperback,enabled,50,0,legacyForSales,20.00,True,True,0.00,Broad-Research,
56120,2022-11-21 09:02:20.549288+00:00,2023-02-06 07:38:58.174060+00:00,214616649851423,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1669021341732,PFABTAG-SP-Exact-Scale-Single-5-B0B9WCT28G-Paperback,enabled,50,0,manual,20.00,True,True,0.00,Exact-Scale,
69770,2022-12-17 19:41:14.861080+00:00,2023-02-06 07:38:58.745400+00:00,200869373846686,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1673175944111,T4MBPITB-SP-Broad-Research-Single-5-B0BPQ7Z14W-Paperback,enabled,50,0,legacyForSales,20.00,True,True,0.00,Broad-Research,
85227,2023-01-16 21:02:43.297251+00:00,2023-02-06 07:38:59.734729+00:00,122877864641385,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1673902963158,T4MBTFITW-SP-Exact-Scale-Single-13-B0BRZ4J8RK-Paperback,enabled,50,0,manual,20.00,True,True,0.00,Exact-Scale,
69777,2022-12-17 19:42:30.778215+00:00,2023-02-06 07:38:59.225269+00:00,56886000642259,,111,sponsoredProducts,manual,CAMPAIGN_STATUS_ENABLED,1671306150643,T4MBPITB-SP-Exact-Scale-Single-3-B0BPR4Z57X-Paperback,enabled,50,0,manual,20.00,True,True,0.00,Exact-Scale,
