id,created_at,updated_at,keyword_id,keyword_type,campaign_id,ad_group_id,state,keyword_text,match_type,bid,serving_status,last_updated_date_on_amazon
5160160,2022-11-23 00:26:27.503525+00:00,2022-11-23 00:26:27.503528+00:00,210320596068,Positive,58977,146451429012920,enabled,kids social emotional,broad,0.78,TARGETING_CLAUSE_STATUS_LIVE,1671694834488
4367375,2022-08-02 00:27:08.481281+00:00,2022-08-02 00:27:08.481285+00:00,298918013254,Positive,31511,191516499015545,enabled,dementia activities for seniors,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1665130776324
4352961,2022-07-31 00:23:10.557664+00:00,2022-07-31 00:23:10.557668+00:00,350781551000,Positive,31387,105717556026360,enabled,birds magazine,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694924816
5731631,2022-12-17 21:05:41.932601+00:00,2022-12-17 21:05:41.932607+00:00,1165637291070,Positive,69793,72849211319336,enabled,alzheimers gifts,broad,0.59,TARGETING_CLAUSE_STATUS_LIVE,1672047141918
5160140,2022-11-23 00:26:27.503075+00:00,2022-11-23 00:26:27.503079+00:00,1287511868332,Positive,58981,95707772927648,enabled,anger management workbook for kids,exact,0.14,TARGETING_CLAUSE_STATUS_LIVE,1675181059471
4291558,2022-07-16 12:58:31.370215+00:00,2022-07-16 12:58:31.370219+00:00,1497675580239,Positive,26334,156758338784069,enabled,dementia book,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694925868
6072402,2023-01-16 21:16:32.321775+00:00,2023-01-16 21:16:32.321781+00:00,1932023181885,Positive,85402,275528084945787,enabled,books seniors,broad,0.33,TARGETING_CLAUSE_STATUS_LIVE,1673903449545
5735034,2022-12-17 21:05:42.037213+00:00,2022-12-17 21:05:42.037219+00:00,2371049173909,Positive,69893,226593534121749,enabled,dementia picture,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1674535216881
4364997,2022-08-02 00:27:08.422254+00:00,2022-08-02 00:27:08.422258+00:00,2467399396454,Positive,31559,245157549592940,enabled,alzheimers gifts for men,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1665130778498
6071627,2023-01-16 21:16:32.298423+00:00,2023-01-16 21:16:32.298428+00:00,2509878727045,Positive,85322,123559360192602,enabled,books seniors,broad,0.33,TARGETING_CLAUSE_STATUS_LIVE,1673903228950
6180605,2023-01-23 18:01:26.222909+00:00,2023-01-23 18:01:26.222914+00:00,3135362068520,Positive,87780,33528824590403,enabled,kids books about anger,exact,0.33,TARGETING_CLAUSE_STATUS_LIVE,1674496853402
6072430,2023-01-16 21:16:32.322600+00:00,2023-01-16 21:16:32.322605+00:00,3149176666292,Positive,85190,131881831955881,enabled,the art of dementia care,exact,0.33,TARGETING_CLAUSE_STATUS_LIVE,1673902867795
4364195,2022-08-02 00:27:08.403084+00:00,2022-08-02 00:27:08.403088+00:00,3438473182679,Positive,31542,6454779012454,enabled,dementia book,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1665552312116
4364226,2022-08-02 00:27:08.403814+00:00,2022-08-02 00:27:08.403818+00:00,3508668091813,Positive,31574,74644976069098,enabled,alzheimers books,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694924836
6071629,2023-01-16 21:16:32.298482+00:00,2023-01-16 21:16:32.298487+00:00,3612694435378,Positive,85249,47975026382965,enabled,alzheimers books,broad,0.33,TARGETING_CLAUSE_STATUS_LIVE,1673903002847
4367385,2022-08-02 00:27:08.481523+00:00,2022-08-02 00:27:08.481527+00:00,3620931991414,Positive,31510,159783390522064,enabled,books seniors,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694923637
6070808,2023-01-16 21:16:32.273939+00:00,2023-01-16 21:16:32.273945+00:00,3712448311381,Positive,85229,205683651359735,enabled,dementia coloring,exact,0.33,TARGETING_CLAUSE_STATUS_LIVE,1673902977474
4022113,2022-06-15 00:22:29.039219+00:00,2022-06-15 00:22:29.039223+00:00,4272059409792,Positive,20277,37212692944851,enabled,dementia activities for seniors,exact,0.11,TARGETING_CLAUSE_STATUS_LIVE,1669544524713
5140209,2022-11-21 09:04:11.770080+00:00,2022-11-21 09:04:11.770084+00:00,4491780275444,Positive,56130,275245899600716,enabled,poem book,exact,0.11,TARGETING_CLAUSE_STATUS_LIVE,1670657476830
4022068,2022-06-15 00:22:29.038080+00:00,2022-06-15 00:22:29.038084+00:00,4962487441009,Positive,20334,262436921477568,enabled,libros de superacion personal,exact,0.11,TARGETING_CLAUSE_STATUS_LIVE,1665817025498
5733301,2022-12-17 21:05:41.984442+00:00,2022-12-17 21:05:41.984448+00:00,5100749806963,Positive,69881,86040856608342,enabled,dementia gifts for elderly,exact,0.59,TARGETING_CLAUSE_STATUS_LIVE,1672047141371
3215107,2022-04-14 02:36:56.823175+00:00,2022-04-14 02:36:56.823179+00:00,5310534630247,Positive,13019,65188858190233,enabled,alzheimers books,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1665817025661
4352919,2022-07-31 00:23:10.556558+00:00,2022-07-31 00:23:10.556562+00:00,5518100292180,Positive,31386,279915131462939,enabled,colorful photos,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1665552314015
3215035,2022-04-14 02:36:56.821471+00:00,2022-04-14 02:36:56.821475+00:00,5697440825994,Positive,13013,116956804643636,enabled,gifts for dementia patients men,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1665130778680
6171797,2023-01-22 00:36:11.269677+00:00,2023-01-22 00:36:11.269682+00:00,6508410494729,Positive,26333,84348824309559,enabled,alzheimers books,exact,0.63,TARGETING_CLAUSE_STATUS_LIVE,1674575884512
3215082,2022-04-14 02:36:56.822577+00:00,2022-04-14 02:36:56.822581+00:00,6743682617780,Positive,13007,236347869197919,enabled,alzheimers gifts for men,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1665552313075
4367395,2022-08-02 00:27:08.481764+00:00,2022-08-02 00:27:08.481768+00:00,6827465071265,Positive,31554,907738206781,enabled,gifts for elderly in nursing home,exact,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694926010
4353023,2022-07-31 00:23:10.559303+00:00,2022-07-31 00:23:10.559307+00:00,6837789389692,Positive,31367,280361919060818,enabled,alzheimers stories,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694926203
4363443,2022-08-02 00:27:08.384896+00:00,2022-08-02 00:27:08.384918+00:00,6905937396513,Positive,31537,32995226834535,enabled,alzheimers activities,exact,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694923953
4291559,2022-07-16 12:58:31.370238+00:00,2022-07-16 12:58:31.370242+00:00,7787398538605,Positive,26334,156758338784069,enabled,books seniors,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694923633
6171827,2023-01-22 00:36:11.270547+00:00,2023-01-22 00:36:11.270552+00:00,9410197319557,Positive,13018,75900493829017,enabled,dementia books for caregivers,exact,0.67,TARGETING_CLAUSE_STATUS_LIVE,1674285775171
5160152,2022-11-23 00:26:27.503345+00:00,2022-11-23 00:26:27.503348+00:00,9463852617510,Positive,58970,139493140375199,enabled,kids anger management,broad,0.78,TARGETING_CLAUSE_STATUS_LIVE,1671694837064
6171800,2023-01-22 00:36:11.269763+00:00,2023-01-22 00:36:11.269768+00:00,9526553244882,Positive,31493,157769340797376,enabled,crafts for seniors with dementia,exact,0.67,TARGETING_CLAUSE_STATUS_LIVE,1674285775159
4366584,2022-08-02 00:27:08.461234+00:00,2022-08-02 00:27:08.461238+00:00,9919889271646,Positive,31505,37617591258727,enabled,alzheimers activities,exact,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694925860
6171823,2023-01-22 00:36:11.270431+00:00,2023-01-22 00:36:11.270436+00:00,10288089682161,Positive,13018,75900493829017,enabled,books for alzheimers,exact,1.23,TARGETING_CLAUSE_STATUS_LIVE,1675181059152
5734982,2022-12-17 21:05:42.035667+00:00,2022-12-17 21:05:42.035672+00:00,10911172595168,Positive,69874,153464948743695,enabled,dementia activities for seniors,exact,0.59,TARGETING_CLAUSE_STATUS_LIVE,1672047141609
4353027,2022-07-31 00:23:10.559400+00:00,2022-07-31 00:23:10.559404+00:00,11593203116211,Positive,31385,105011991845485,enabled,picture books,exact,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694924115
5735002,2022-12-17 21:05:42.036244+00:00,2022-12-17 21:05:42.036250+00:00,11993832657932,Positive,69803,57713117964430,enabled,alzheimers activities,exact,0.59,TARGETING_CLAUSE_STATUS_LIVE,1672047142096
6072431,2023-01-16 21:16:32.322628+00:00,2023-01-16 21:16:32.322634+00:00,12191561593849,Positive,85350,115808610302096,enabled,the art of dementia care,exact,0.33,TARGETING_CLAUSE_STATUS_LIVE,1673903315706
3215093,2022-04-14 02:36:56.822849+00:00,2022-04-14 02:36:56.822853+00:00,12202129064563,Positive,13007,236347869197919,enabled,alzheimer's products,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694925005
4368189,2022-08-02 00:27:08.501651+00:00,2022-08-02 00:27:08.501655+00:00,13401324590751,Positive,31527,18368241855536,enabled,games for seniors with dementia,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694923957
5734144,2022-12-17 21:05:42.010121+00:00,2022-12-17 21:05:42.010126+00:00,13787640289811,Positive,69776,260726002840469,enabled,alzheimers activities,exact,1.19,TARGETING_CLAUSE_STATUS_LIVE,1675181059144
4911426,2022-10-12 06:10:22.040914+00:00,2022-10-12 06:10:22.040918+00:00,14764004704473,Positive,48144,250472604648858,enabled,picture book for dementia,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694926193
6073959,2023-01-16 21:16:32.368468+00:00,2023-01-16 21:16:32.368473+00:00,14956822912880,Positive,85281,147582074099589,enabled,dementia book,broad,0.33,TARGETING_CLAUSE_STATUS_LIVE,1673903115711
4022125,2022-06-15 00:22:29.039518+00:00,2022-06-15 00:22:29.039522+00:00,15073650263306,Positive,20249,198234571303008,enabled,kindergarten prep,exact,0.11,TARGETING_CLAUSE_STATUS_LIVE,1665130778504
6069262,2023-01-16 21:16:32.227629+00:00,2023-01-16 21:16:32.227634+00:00,15437313342299,Positive,85368,194758376551702,enabled,reading picture books,broad,0.33,TARGETING_CLAUSE_STATUS_LIVE,1673903339858
6171840,2023-01-22 00:36:11.270941+00:00,2023-01-22 00:36:11.270946+00:00,15544467546713,Positive,26344,159234040552137,enabled,dementia books for seniors,exact,0.67,TARGETING_CLAUSE_STATUS_LIVE,1674285775139
4022094,2022-06-15 00:22:29.038750+00:00,2022-06-15 00:22:29.038754+00:00,15568764648263,Positive,20325,146235969443059,enabled,kaizen,exact,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694924155
4352973,2022-07-31 00:23:10.558009+00:00,2022-07-31 00:23:10.558014+00:00,15730084298234,Positive,31387,105717556026360,enabled,alzheimers stories,broad,0.11,TARGETING_CLAUSE_STATUS_LIVE,1671694923640
